eval_date,eval_year,province_reg,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2023-12-31,2023,Bắc Ninh,108354,103107,100825,97856,77670,59754,13778,0.9515753917714159,0.9305147941008177,0.9031138675083522,0.716817099507171,0.5514701810731492,0.12715728076490024
2019-12-31,2019,Bến Tre,62477,51483,47559,40956,28603,18251,2013,0.8240312434976071,0.7612241304800167,0.6555372377034748,0.4578164764633385,0.29212350144853305,0.0322198569073419
2020-12-31,2020,Bến Tre,79604,69704,65445,55658,39494,25474,2948,0.8756343902316467,0.8221320536656449,0.6991859705542435,0.49613084769609567,0.3200090447716195,0.037033314908798555
2021-12-31,2021,Bến Tre,95793,85781,81569,74639,50241,32855,4129,0.8954829684841272,0.8515131585815248,0.779169667929807,0.5244746484607434,0.3429791320868957,0.043103358282964306
2022-12-31,2022,Bến Tre,101397,93632,90603,86020,58331,40239,5374,0.9234198250441334,0.8935471463652771,0.8483485704705267,0.5752734301803801,0.39684606053433535,0.05299959564878645
2023-12-31,2023,Bến Tre,85031,78190,75537,71619,48287,33883,4796,0.9195469887452812,0.8883466030036105,0.8422692900236385,0.5678752454987005,0.39847820206748125,0.05640295892086416
2019-12-31,2019,Cao Bằng,56706,44425,42163,40118,27241,19207,2426,0.7834267978697139,0.7435368391351885,0.7074736359468133,0.48039008217825274,0.3387119528797658,0.04278206891686947
2020-12-31,2020,Cao Bằng,61163,52774,50528,48564,32628,23035,2891,0.8628419142291909,0.8261203668884783,0.7940094501577751,0.53345977143044,0.3766165819204421,0.047267138629563624
2021-12-31,2021,Cao Bằng,59258,51621,49547,47790,32344,23318,2812,0.8711228863613352,0.8361233926220932,0.8064733875594856,0.5458165986027204,0.39349961186675214,0.04745350838705323
2022-12-31,2022,Cao Bằng,52459,46681,44898,43285,29034,21141,2478,0.8898568405802627,0.8558683924588727,0.8251205703501783,0.5534607979564994,0.403000438437637,0.04723688976152805
2023-12-31,2023,Cao Bằng,41574,37046,35503,34075,22375,16108,1890,0.891085774763073,0.8539712320200125,0.8196228411988262,0.5381969500168374,0.3874536970221773,0.04546110549862895
2019-12-31,2019,Cà Mau,121039,88431,80490,66232,44064,28252,4099,0.7305992283478878,0.6649922752170788,0.5471955320186056,0.3640479514867109,0.2334123712191938,0.0338651178545758
2020-12-31,2020,Cà Mau,137214,106550,97620,82348,54002,34901,5167,0.7765242613727462,0.711443438716166,0.6001428425670849,0.3935604238634542,0.25435451193026953,0.03765650735347705
2021-12-31,2021,Cà Mau,138389,105936,95405,79644,52304,33675,5124,0.7654943673268829,0.6893972786854446,0.5755081690018715,0.3779491144527383,0.2433358142626943,0.037026064210305736
2022-12-31,2022,Cà Mau,123708,95173,84989,70065,44761,28291,4462,0.7693358554014291,0.6870129660167491,0.5663740420991367,0.36182785268535583,0.22869175801079963,0.0360688071911275
2023-12-31,2023,Cà Mau,98774,74564,65768,53652,33708,20960,3521,0.7548950128576346,0.665843238099095,0.5431793791888554,0.3412638953570778,0.21220159151193635,0.03564703261992022
2019-12-31,2019,Cần Thơ,121737,79390,68695,58459,45197,30552,4462,0.6521435553693619,0.564290232221921,0.48020733219974204,0.3712675686110221,0.25096724906971585,0.036652784280867774
2020-12-31,2020,Cần Thơ,136287,96111,83949,71984,55019,37294,6333,0.705210328204451,0.6159721763631161,0.5281795035476604,0.4036995458114127,0.2736431207672045,0.04646811508067534
2021-12-31,2021,Cần Thơ,137405,96730,84111,72159,54655,37024,7502,0.7039772934027146,0.6121392962410392,0.5251555620246716,0.39776572904916124,0.26945162112004656,0.05459772206251592
2022-12-31,2022,Cần Thơ,124844,90691,79730,67196,50954,34694,7823,0.7264345903687802,0.6386370189997116,0.5382397231745218,0.4081413604178014,0.2778988177245202,0.06266220242863094
2023-12-31,2023,Cần Thơ,97308,70538,61779,51238,38246,25606,6649,0.7248941505323303,0.6348809964237268,0.526554856743536,0.39304065441690306,0.26314383195626256,0.06832942820734164
2019-12-31,2019,Gia Lai,191987,154316,139717,108550,58403,33246,3769,0.8037835895138733,0.7277419825300672,0.5654028658190399,0.30420288873725826,0.17316797491496821,0.019631537552021752
2020-12-31,2020,Gia Lai,215993,182836,167590,136207,70224,40416,4618,0.846490395522077,0.7759047746917724,0.6306083993462751,0.32512164746079736,0.1871171750936373,0.021380322510451726
2021-12-31,2021,Gia Lai,208936,173079,153805,119893,62209,35163,4173,0.8283828540797182,0.7361345100892139,0.5738264348891526,0.29774189225408737,0.16829555461959644,0.01997262319561971
2022-12-31,2022,Gia Lai,183892,153286,133412,100625,52316,29205,3767,0.8335653535770996,0.7254910490940335,0.547196180366737,0.2844930720205338,0.15881604419985643,0.020484849803145324
2023-12-31,2023,Gia Lai,146675,119466,101747,74111,37306,20007,2803,0.8144946309868758,0.6936901312425431,0.5052735640020454,0.2543446395091188,0.13640361343105506,0.019110277825123572
2019-12-31,2019,Hà Giang,118011,81480,76150,71016,44801,30162,4829,0.6904441111421816,0.6452788299395819,0.6017744108600046,0.37963410190575453,0.2555863436459313,0.04091991424528222
2020-12-31,2020,Hà Giang,126984,99343,94076,89311,54326,36261,5482,0.7823269073269074,0.7408492408492409,0.7033248283248283,0.4278176778176778,0.28555566055566056,0.04317079317079317
2021-12-31,2021,Hà Giang,124644,99479,94158,89069,51999,34143,4703,0.7981050030486826,0.7554154231250602,0.7145871441866436,0.41718012900741314,0.2739241359391547,0.03773145919578961
2022-12-31,2022,Hà Giang,111708,92442,87275,82104,45801,29244,3872,0.8275324954345258,0.7812779747198052,0.734987646363734,0.4100064453754431,0.2617896659147062,0.03466179682744298
2023-12-31,2023,Hà Giang,89149,73726,69125,64463,33481,20559,2581,0.8269974985698101,0.775387272992406,0.7230927996948928,0.37556226093394207,0.23061391602822243,0.028951530583629655
2019-12-31,2019,Hà Nam,86349,73508,70130,67023,53244,39271,3837,0.8512895343316078,0.8121692202573279,0.7761873328006115,0.6166139735260396,0.4547939177060533,0.04443595177709064
2020-12-31,2020,Hà Nam,98310,88592,84979,81599,65368,48281,5326,0.9011494252873563,0.8643983318075475,0.8300172922388364,0.6649170989726376,0.49110975485708475,0.05417556708371478
2021-12-31,2021,Hà Nam,96470,86882,83430,79958,64813,48272,6677,0.9006115890950555,0.8648284440758786,0.8288379807193946,0.6718461697937183,0.5003835389240179,0.06921322690992018
2022-12-31,2022,Hà Nam,88118,79806,76954,73752,59247,44283,7304,0.9056719398987721,0.8733062484395924,0.8369686102725891,0.6723597902812138,0.5025420458930071,0.08288885358269593
2023-12-31,2023,Hà Nam,70867,63424,60951,58004,45984,33970,6322,0.8949722720024835,0.8600759168583403,0.8184909760537344,0.6488774747061397,0.47934863899981656,0.08920936401992464
2019-12-31,2019,Hà Nội,806331,574839,528994,500492,449656,355517,86157,0.712906982368283,0.6560506789395422,0.6207029123275677,0.5576568431574627,0.44090702205421844,0.10685066058479706
2020-12-31,2020,Hà Nội,793427,685344,644984,601091,547712,437717,120133,0.8637770078406709,0.8129090640978943,0.7575882847445322,0.6903117741140646,0.5516789824394683,0.15141027466925125
2021-12-31,2021,Hà Nội,848420,769244,734753,701985,634791,519502,159253,0.9066782961269183,0.8660250819169751,0.8274027014921854,0.7482037198557319,0.6123170128002641,0.18770538176846374
2022-12-31,2022,Hà Nội,799866,745401,722823,694684,627555,524283,177017,0.9319073444802004,0.9036801164195003,0.8685004738293665,0.7845751663403621,0.6554635401429739,0.22130831914345653
2023-12-31,2023,Hà Nội,641612,595559,577297,551927,502636,421688,156546,0.9282229758795035,0.8997602912663728,0.8602192602382749,0.7833955724020124,0.6572320966565464,0.24398857876723004
2019-12-31,2019,Hà Tĩnh,159074,119888,111827,104376,79630,58992,4950,0.7536618177703459,0.7029872889347096,0.6561474533864742,0.5005846335667676,0.3708462728038523,0.031117593069892
2020-12-31,2020,Hà Tĩnh,175118,145072,135804,128875,93943,68376,6141,0.8284242624972875,0.7754999486060827,0.7359323427631654,0.5364554186320082,0.390456720611245,0.035067782866410074
2021-12-31,2021,Hà Tĩnh,170655,143349,134056,126361,87189,60463,6579,0.8399929682693152,0.78553807389177,0.7404471008760365,0.5109079722246638,0.3542996103249246,0.03855146347894876
2022-12-31,2022,Hà Tĩnh,152703,130450,122071,114828,75978,51802,6863,0.8542726730974506,0.7994014524927474,0.7519695094398932,0.49755407555843695,0.33923367582824177,0.0449434523224822
2023-12-31,2023,Hà Tĩnh,120543,101979,94870,88633,54664,35933,5393,0.8459968641895423,0.7870220585185369,0.7352811859668335,0.453481330313664,0.29809279676132167,0.044739221688526086
2019-12-31,2019,Hoà Bình,76588,68398,66958,65192,44899,31874,3105,0.8930641876011908,0.8742622865200814,0.851203843944221,0.5862406643338381,0.4161748576800543,0.040541599206141955
2020-12-31,2020,Hoà Bình,72527,67485,66350,65490,44232,31450,3070,0.9304810622251024,0.9148317178430102,0.9029740648310285,0.609869427937182,0.4336316130544487,0.04232906365905111
2021-12-31,2021,Hoà Bình,55269,51032,50054,49310,32390,23017,2361,0.9233385803976913,0.905643308183611,0.8921818741066421,0.5860428088078308,0.4164540700935425,0.04271834120392987
2022-12-31,2022,Hoà Bình,39842,36111,35289,34655,21429,15247,1646,0.9063551026554891,0.8857236082525978,0.8698107524722655,0.5378495055469102,0.3826866121178656,0.04131318708900156
2023-12-31,2023,Hoà Bình,23017,20316,19805,19372,9372,6242,810,0.882651952904375,0.860450971021419,0.8416387887213799,0.40717730373202415,0.2711908589303558,0.03519138028413781
2019-12-31,2019,Hưng Yên,128103,113065,107888,102420,71344,47874,5025,0.8826100871954599,0.8421972943646909,0.7995128919697431,0.5569268479270587,0.3737149012903679,0.03922624762886115
2020-12-31,2020,Hưng Yên,147340,134973,129366,123779,87506,59811,7534,0.9160648839419031,0.8780100447943532,0.8400909461110357,0.5939052531559658,0.40593864531016693,0.05113343287634044
2021-12-31,2021,Hưng Yên,143021,131274,126433,121116,89228,63075,10282,0.9178652086057292,0.8840170324637641,0.846840673747212,0.6238804091706812,0.44101915103376427,0.07189154040315758
2022-12-31,2022,Hưng Yên,128840,119474,115450,110440,82846,60380,11872,0.9273051847252406,0.8960726482458864,0.8571872089413226,0.6430145917416952,0.4686432784849426,0.09214529649177274
2023-12-31,2023,Hưng Yên,101936,93973,90680,86464,65251,48019,10812,0.9218823575576832,0.8895777742897504,0.8482184900329619,0.6401173285198556,0.4710700831894522,0.10606655156176424
2019-12-31,2019,Hải Dương,200923,160663,151838,144177,107279,74739,8813,0.7996247318624548,0.7557024332704568,0.7175733987647009,0.5339309088556312,0.3719783200529556,0.04386257421997482
2020-12-31,2020,Hải Dương,217114,191823,182679,174363,131018,91885,13009,0.8835128089390827,0.8413966856121669,0.803094226995956,0.6034525640907542,0.4232108477573993,0.05991783118546017
2021-12-31,2021,Hải Dương,210003,189282,181561,174745,134810,97910,17166,0.9013299810002714,0.8645638395641967,0.8321071603738994,0.6419432103350905,0.46623143478902684,0.08174168940443707
2022-12-31,2022,Hải Dương,189552,172595,166780,161073,125169,92570,18844,0.9105416983202499,0.8798641006161898,0.8497562674094707,0.6603412256267409,0.48836203258208827,0.09941335359162658
2023-12-31,2023,Hải Dương,150425,136848,132364,127550,98549,72933,16967,0.9097423965431278,0.8799335216885491,0.8479308625560911,0.6551371115173674,0.48484626890476984,0.11279375103872362
2019-12-31,2019,Hải Phòng,206618,162522,150706,139664,107515,75731,8593,0.7865820015681112,0.7293943412481003,0.6759527243512182,0.5203564065086295,0.3665266336911595,0.04158882575574248
2020-12-31,2020,Hải Phòng,243448,199603,185849,172898,133842,94697,13600,0.8198999375636686,0.763403272978213,0.7102050540567185,0.5497765436561401,0.38898245210476157,0.05586408596496993
2021-12-31,2021,Hải Phòng,242474,197089,183459,170821,134441,97569,18640,0.8128252926086921,0.756613080165296,0.7044920280112507,0.554455323044945,0.402389534548034,0.07687422156602357
2022-12-31,2022,Hải Phòng,223841,181580,169389,157117,123999,91752,21234,0.8112008077161914,0.7567380417349815,0.7019134117520919,0.553960177089988,0.40989809731014426,0.09486197792182845
2023-12-31,2023,Hải Phòng,183112,145351,134677,123591,96826,71373,19277,0.7937819476604483,0.7354897549041024,0.6749475730700336,0.528780200096116,0.38977784088426753,0.10527436760015728
2019-12-31,2019,Hậu Giang,75825,57545,52654,47647,36902,26184,2214,0.7589185624793934,0.69441477085394,0.6283811407847016,0.48667326079788986,0.34532146389713153,0.02919881305637982
2020-12-31,2020,Hậu Giang,90796,70429,64387,58958,44151,30776,2921,0.7756839508348385,0.7091391691263932,0.6493457861579806,0.48626591479800874,0.3389576633331865,0.03217102074981277
2021-12-31,2021,Hậu Giang,93550,70157,62909,57093,40914,27190,2970,0.7499412079102085,0.6724639230358097,0.6102939604489578,0.43734901122394443,0.2906467129877071,0.03174772848743987
2022-12-31,2022,Hậu Giang,85515,63941,56629,50693,34672,22251,2976,0.7477167748348243,0.6622113079576682,0.5927965853943753,0.4054493363737356,0.2601999649184354,0.03480091212068058
2023-12-31,2023,Hậu Giang,70033,50626,44130,39036,25646,15820,2442,0.7228877814744478,0.6301315094312682,0.5573943712249939,0.36619879199805805,0.22589350734653663,0.03486927591278397
2019-12-31,2019,Khánh Hòa,139683,94012,82511,62823,45837,28317,3496,0.6730382365785386,0.5907018033690571,0.44975408603767103,0.3281501685960353,0.20272330920727646,0.025028099339218086
2020-12-31,2020,Khánh Hòa,158073,117357,102695,79548,57218,35373,4877,0.7424228046535462,0.649668191278713,0.5032358467290429,0.3619720002783524,0.22377635649351882,0.03085283381728695
2021-12-31,2021,Khánh Hòa,161164,118680,103345,82318,58015,36459,6158,0.736392742796158,0.6412412201236009,0.5107716363455859,0.3599749323670299,0.22622297783624135,0.03820952570052866
2022-12-31,2022,Khánh Hòa,148179,110213,94983,73139,53522,34027,6621,0.7437828572199839,0.641001761383192,0.4935854608277826,0.3611982804580946,0.22963442863023775,0.044682444880853565
2023-12-31,2023,Khánh Hòa,120539,88299,75215,57352,42132,26918,5849,0.7325346983134089,0.6239889164502775,0.47579621533279687,0.3495300276259136,0.22331361633993976,0.04852371431652826
2019-12-31,2019,Kiên Giang,186829,135480,120717,94114,65486,40762,5194,0.7251550883428162,0.6461363064620589,0.5037440654288146,0.3505130359847775,0.21817812009912807,0.02780082321267041
2020-12-31,2020,Kiên Giang,215496,163881,147556,120118,80158,49924,6676,0.7604827931840962,0.684727326725322,0.5574024575862196,0.37196978134164904,0.2316701934142629,0.03097969335857742
2021-12-31,2021,Kiên Giang,214159,158339,139510,110911,73472,44706,6489,0.739352537133625,0.6514318800517372,0.5178909128264514,0.34307220336292193,0.20875144168585022,0.030299917351126967
2022-12-31,2022,Kiên Giang,194484,143676,125645,100173,64872,39481,6244,0.7387548590115383,0.6460428621377594,0.5150706484852224,0.33355957302400197,0.20300384607474137,0.0321054688303408
