eval_date,eval_year,province,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2023-12-31,2023,Bình Phước,107684,80027,68292,54105,37581,24064,4982,0.7431651870287136,0.6341889231454998,0.5024423312655548,0.34899335091564204,0.22346866758292783,0.046264997585528024
2019-12-31,2019,Bình Thuận,163481,119333,107689,88415,56773,34303,3807,0.7299502694502725,0.6587248671099394,0.5408273744349497,0.3472758302188022,0.2098286651048134,0.023287109817042958
2020-12-31,2020,Bình Thuận,187733,145147,131977,110070,68332,41430,4873,0.7731565574512739,0.7030037340265164,0.5863114103540666,0.3639850212802224,0.22068576116079752,0.025957077338560616
2021-12-31,2021,Bình Thuận,186754,140260,123698,102465,63477,38105,4900,0.7510414770232499,0.6623579682362895,0.5486629469783779,0.33989633421506366,0.2040384677168896,0.026237724493183547
2022-12-31,2022,Bình Thuận,170284,129038,111820,87878,55369,32999,4749,0.7577811186018651,0.6566676845740058,0.5160672758450588,0.3251567968805055,0.19378802471165818,0.027888703577552795
2023-12-31,2023,Bình Thuận,138147,103311,87879,67088,42072,24811,3881,0.7478338291819584,0.6361267345653543,0.48562762854061253,0.3045451584182067,0.17959854358038901,0.028093262973499244
2019-12-31,2019,Bình Định,9617,6942,4711,2816,2320,1219,149,0.7218467297494021,0.4898617032338567,0.2928148071124051,0.24123947176874286,0.1267547052095248,0.01549339710928564
2020-12-31,2020,Bình Định,11791,9823,7266,4533,3617,2096,347,0.8330930370621661,0.6162327198710881,0.3844457637180901,0.30675939275718767,0.17776270036468492,0.02942922568060385
2021-12-31,2021,Bình Định,12904,11359,8833,6025,4627,2877,549,0.8802696838189709,0.6845164290142591,0.4669094854308741,0.35857098574085555,0.22295412275263485,0.04254494730316181
2022-12-31,2022,Bình Định,12251,11122,8956,6425,4857,3181,672,0.9078442576116236,0.7310423638886622,0.52444698391968,0.3964574320463636,0.2596522732838136,0.0548526650885642
2023-12-31,2023,Bình Định,9888,9071,7445,5416,4082,2726,628,0.9173745954692557,0.7529328478964401,0.5477346278317152,0.41282362459546923,0.27568770226537215,0.06351132686084142
2019-12-31,2019,Bạc Liêu,103711,76823,69768,61933,39016,24473,3372,0.7407410978584721,0.6727155268004358,0.5971690563199661,0.376199245981622,0.2359730404682242,0.032513426733904796
2020-12-31,2020,Bạc Liêu,112024,85071,77522,68827,43262,27184,3750,0.7593997714775406,0.6920124259087338,0.6143951296150825,0.3861851031921731,0.2426622866528601,0.03347496964936085
